contentid1,contentid2,sim
2743285,2755809,0.23860395403387014
2743285,126290,0.2086554580183689
2743285,252578,0.20422067510603503
2743285,2743326,0.20002893224756377
2743285,2748819,0.1972096203113032
1625067,1625089,0.43870860811108164
1625067,126558,0.34817976310727894
1625067,126269,0.3092216784810264
1625067,126264,0.29427324242820396
1625067,231950,0.28602910024300926
2788127,250458,0.5095822556144421
2788127,1624871,0.377813628607207
2788127,3076545,0.32941792659129276
2788127,126391,0.22775703746863202
2788127,126382,0.21644362837108538
2357441,1612160,0.18533961867854445
2357441,1313645,0.15093876836738143
2357441,1597879,0.13493615039278467
2357441,1597663,0.13472416848115049
2357441,1623646,0.12415925307160872
2793231,2793212,0.34314657616955435
2793231,129656,0.21063348789002656
2793231,802004,0.1967342480280066
2793231,264284,0.18062316201066148
2793231,3112039,0.1789708435060056
1608562,231896,0.26814293333426564
1608562,127430,0.1784920503689334
1608562,1957310,0.16328430965026852
1608562,252599,0.1546053469996772
1608562,1624802,0.14987035920576022
129681,127169,0.9380792827305936
129681,127533,0.6508993125166083
129681,126268,0.6297020984373358
129681,127742,0.5991568549136008
129681,126558,0.5943146649844435
1625103,799613,0.36385802986193166
1625103,126380,0.2567934578287121
1625103,1626138,0.2363802542770739
1625103,2414865,0.20272658457820236
1625103,1627095,0.1956928883028119
2357460,126347,0.9906640547662159
2357460,126249,0.6869929756011206
2357460,1610474,0.6085061919007021
2357460,2715684,0.6016775278237372
2357460,2615254,0.5852610669984243
126347,2357460,0.9906640547662159
126347,126249,0.6948186771552631
126347,1610474,0.6157260228346139
126347,2715684,0.6081266190618078
126347,2615254,0.588142790679696
1625118,2357460,0.3737903932491685
1625118,126347,0.37344455588451103
1625118,126249,0.34041925586932925
1625118,988215,0.30189123237698573
1625118,1610474,0.25648944735589635
126249,126347,0.6948186771552631
126249,2357460,0.6869929756011206
126249,1610474,0.6524250856428951
126249,988215,0.5634317927278102
126249,2715684,0.4625584846933721
127651,126347,0.3634982217554692
127651,2357460,0.3615128322700194
127651,126249,0.3508388811993899
127651,988215,0.321904733064925
127651,2613626,0.3175845212439557
1607032,250318,0.3567333833028712
1607032,1607297,0.2746214543690664
1607032,250459,0.265480691536023
1607032,1624349,0.21724039972781464
1607032,231951,0.21306569606077086
126346,126356,0.3984484802850915
126346,298094,0.36243759226263644
126346,1597967,0.35392111935393133
126346,1599584,0.3519450512722697
126346,127439,0.32159499820834814
2774063,264284,0.4754062416244758
2774063,3112039,0.47532780499818794
2774063,126387,0.4196462192642089
2774063,126622,0.34901653855803205
2774063,127045,0.3431804360126841
2724379,1587082,0.4782996438245445
2724379,2705087,0.44907396954783685
2724379,2827407,0.44772275098244196
2724379,2381393,0.3691921980582111
2724379,126624,0.31633168636877007
129070,128980,0.6399490748511889
129070,1626187,0.33610375196475045
129070,3056499,0.29375980274385094
129070,126290,0.2839015223994678
129070,128448,0.26985994175813693
128980,129070,0.6399490748511889
128980,1626187,0.3650154955025919
128980,128982,0.29414772625173113
128980,126290,0.2938980805572893
128980,3112039,0.2934582771883191
126288,128982,0.5795289087957886
